datetime,lat,lon,county,state,hail_size,hail,temp_2m,dewpoint_2m,rh,wind_10m,wind_100m,shear,wind_max,precipitation,pressure,cloudcover,month,hour,prob_twin,prob_xgb
2023-06-12 19:40:00,30.91,-99.25,MASON,TEXAS,1.75,1,31.5,21.6,56,16.1,21.0,4.899999999999999,21.0,0.0,949.9,5,6,19,0.363,0.018312323838472366
2023-06-03 19:12:00,35.25,-101.65,POTTER,TEXAS,1.25,1,21.0,14.9,68,9.1,12.2,3.0999999999999996,12.2,1.7,892.8,99,6,19,0.253,0.012217146344482899
2023-05-05 19:56:00,30.59,-98.5,LLANO,TEXAS,1.0,1,31.4,18.4,46,7.6,11.2,3.5999999999999996,11.2,0.0,974.2,4,5,19,0.409,0.012774139642715454
2023-09-24 20:21:00,30.53,-97.68,WILLIAMSON,TEXAS,4.0,1,31.1,18.8,48,18.7,32.4,13.7,32.4,0.0,983.3,99,9,20,0.452,0.02618313767015934
2024-04-09 16:11:00,30.36,-97.67,TRAVIS,TEXAS,1.5,1,26.5,19.2,64,5.7,7.1,1.3999999999999995,7.1,0.0,978.2,91,4,16,0.277,0.012003092095255852
2024-05-22 13:08:00,33.02,-97.09,DENTON,TEXAS,1.0,1,22.0,20.2,90,5.6,6.2,0.6000000000000005,6.2,15.0,988.3,100,5,13,0.128,0.012003092095255852
2024-04-08 21:40:00,33.66,-97.04,COOKE,TEXAS,1.5,1,21.1,15.9,72,14.5,28.5,14.0,28.5,0.0,977.4,79,4,21,0.226,0.027356797829270363
2024-05-13 17:02:00,27.44,-98.26,DUVAL,TEXAS,1.0,1,30.4,23.4,66,6.3,7.3,1.0,7.3,0.0,995.7,37,5,17,0.269,0.019680282101035118
2024-05-24 16:07:00,32.76,-96.47,KAUFMAN,TEXAS,1.25,1,27.6,24.5,83,16.7,22.7,6.0,22.7,9.4,989.4,89,5,16,0.225,0.020640430971980095
2024-03-27 14:15:00,30.28,-98.06,TRAVIS,TEXAS,1.0,1,17.4,8.9,58,10.4,13.9,3.5,13.9,0.0,975.3,72,3,14,0.309,0.0044272281229496
